"gender","year","home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","away_manager","attendance","venue","round","date","score","referee"
"M",2022,"Argentina","France",3,3.3,4,3,2.2,2,"Lionel Scaloni","Didier Deschamps",88966,"Lusail Iconic Stadium, Lusail","Final","2022-12-18","(4) 3–3 (2)","Szymon Marciniak"
"M",2022,"Croatia","Morocco",2,0.7,NA,1,1.2,NA,"Zlatko Dalić","Hoalid Regragui",44137,"Khalifa International Stadium, Doha","Third-place match","2022-12-17","2–1","Abdulrahman Ibrahim Al Jassim"
"M",2022,"France","Morocco",2,2,NA,0,0.9,NA,"Didier Deschamps","Hoalid Regragui",68294,"Al Bayt Stadium, Al Khor","Semi-finals","2022-12-14","2–0","César Arturo Ramos"
"M",2022,"Argentina","Croatia",3,2.3,NA,0,0.5,NA,"Lionel Scaloni","Zlatko Dalić",88966,"Lusail Iconic Stadium, Lusail","Semi-finals","2022-12-13","3–0","Daniele Orsato"
"M",2022,"Morocco","Portugal",1,1.4,NA,0,0.9,NA,"Hoalid Regragui","Fernando Santos",44198,"Al Thumama Stadium, ath-Thumāma","Quarter-finals","2022-12-10","1–0","Facundo Tello"
"M",2022,"England","France",1,2.4,NA,2,0.9,NA,"Gareth Southgate","Didier Deschamps",68895,"Al Bayt Stadium, Al Khor","Quarter-finals","2022-12-10","1–2","Wilton Sampaio"
"M",2022,"Croatia","Brazil",1,0.6,4,1,2.5,2,"Zlatko Dalić","Tite",43893,"Education City Stadium, Doha","Quarter-finals","2022-12-09","(4) 1–1 (2)","Michael Oliver"
"M",2022,"Netherlands","Argentina",2,0.6,3,2,1.9,4,"Louis van Gaal","Lionel Scaloni",88235,"Lusail Iconic Stadium, Lusail","Quarter-finals","2022-12-09","(3) 2–2 (4)","Antonio Matéu"
"M",2022,"Morocco","Spain",0,0.7,3,0,1,0,"Hoalid Regragui","Luis Enrique",44667,"Education City Stadium, Doha","Round of 16","2022-12-06","(3) 0–0 (0)","Fernando Rapallini"
"M",2022,"Portugal","Switzerland",6,2.3,NA,1,1.2,NA,"Fernando Santos","Murat Yakin",83720,"Lusail Iconic Stadium, Lusail","Round of 16","2022-12-06","6–1","César Arturo Ramos"
"M",2022,"Japan","Croatia",1,1.2,1,1,1.4,3,"Hajime Moriyasu","Zlatko Dalić",42523,"Al Janoub Stadium, Al Wakrah","Round of 16","2022-12-05","(1) 1–1 (3)","Ismail Elfath"
"M",2022,"Brazil","Korea Republic",4,3.6,NA,1,0.5,NA,"Tite","Paulo Bento",43847,"Stadium 974, Doha","Round of 16","2022-12-05","4–1","Clément Turpin"
"M",2022,"France","Poland",3,1.4,NA,1,1.7,NA,"Didier Deschamps","Czesław Michniewicz",40989,"Al Thumama Stadium, ath-Thumāma","Round of 16","2022-12-04","3–1","Jesús Valenzuela"
"M",2022,"England","Senegal",3,1,NA,0,0.8,NA,"Gareth Southgate","Aliou Cissé",65985,"Al Bayt Stadium, Al Khor","Round of 16","2022-12-04","3–0","Iván Barton"
"M",2022,"Netherlands","United States",3,1.7,NA,1,1.5,NA,"Louis van Gaal","Gregg Berhalter",44846,"Khalifa International Stadium, Doha","Round of 16","2022-12-03","3–1","Wilton Sampaio"
"M",2022,"Argentina","Australia",2,1.6,NA,1,0.6,NA,"Lionel Scaloni","Graham Arnold",45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Round of 16","2022-12-03","2–1","Szymon Marciniak"
"M",2022,"Korea Republic","Portugal",2,1.7,NA,1,1.3,NA,"Sérgio Costa","Fernando Santos",44097,"Education City Stadium, Doha","Group stage","2022-12-02","2–1","Facundo Tello"
"M",2022,"Ghana","Uruguay",0,1.6,NA,2,1.8,NA,"Otto Addo","Diego Alonso",43443,"Al Janoub Stadium, Al Wakrah","Group stage","2022-12-02","0–2","Daniel Siebert"
"M",2022,"Cameroon","Brazil",1,0.5,NA,0,2.5,NA,"Rigobert Song","Tite",85986,"Lusail Iconic Stadium, Lusail","Group stage","2022-12-02","1–0","Ismail Elfath"
"M",2022,"Serbia","Switzerland",2,1.3,NA,3,2.7,NA,"Dragan Stojković","Murat Yakin",41378,"Stadium 974, Doha","Group stage","2022-12-02","2–3","Fernando Rapallini"
"M",2022,"Canada","Morocco",1,1.4,NA,2,0.5,NA,"John Herdman","Hoalid Regragui",43102,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-12-01","1–2","Raphael Claus"
"M",2022,"Croatia","Belgium",0,0.7,NA,0,3,NA,"Zlatko Dalić","Roberto Martínez",43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-12-01","0–0","Anthony Taylor"
"M",2022,"Costa Rica","Germany",2,1.3,NA,4,5.7,NA,"Luis Fernando Suárez","Hansi Flick",67054,"Al Bayt Stadium, Al Khor","Group stage","2022-12-01","2–4","Stéphanie Frappart"
"M",2022,"Japan","Spain",2,1.4,NA,1,1,NA,"Hajime Moriyasu","Luis Enrique",44851,"Khalifa International Stadium, Doha","Group stage","2022-12-01","2–1","Victor Gomes"
"M",2022,"Australia","Denmark",1,0.6,NA,0,0.6,NA,"Graham Arnold","Kasper Hjulmand",41232,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-30","1–0","Mustapha Ghorbal"
"M",2022,"Tunisia","France",1,0.5,NA,0,0.8,NA,"Jalel Kadri","Didier Deschamps",43627,"Education City Stadium, Doha","Group stage","2022-11-30","1–0","Matt Conger"
"M",2022,"Saudi Arabia","Mexico",1,1.1,NA,2,2.3,NA,"Hervé Renard","Tata Martino",84985,"Lusail Iconic Stadium, Lusail","Group stage","2022-11-30","1–2","Michael Oliver"
"M",2022,"Poland","Argentina",0,0.3,NA,2,3.5,NA,"Czesław Michniewicz","Lionel Scaloni",44089,"Stadium 974, Doha","Group stage","2022-11-30","0–2","Danny Makkelie"
"M",2022,"Ecuador","Senegal",1,0.9,NA,2,2.1,NA,"Gustavo Alfaro","Aliou Cissé",44569,"Khalifa International Stadium, Doha","Group stage","2022-11-29","1–2","Clément Turpin"
"M",2022,"Netherlands","Qatar",2,1.6,NA,0,0.1,NA,"Louis van Gaal","Félix Sánchez",66784,"Al Bayt Stadium, Al Khor","Group stage","2022-11-29","2–0","Bakary Papa Gassama"
"M",2022,"IR Iran","United States",0,0.4,NA,1,1.2,NA,"Carlos Queiroz","Gregg Berhalter",42127,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-29","0–1","Antonio Matéu"
"M",2022,"Wales","England",0,0.3,NA,3,2.4,NA,"Rob Page","Gareth Southgate",44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-29","0–3","Slavko Vinčič"
"M",2022,"Cameroon","Serbia",3,2.2,NA,3,1.9,NA,"Rigobert Song","Dragan Stojković",39789,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-28","3–3","Mohammed Abdulla Hassan"
"M",2022,"Korea Republic","Ghana",2,1.8,NA,3,1.6,NA,"Paulo Bento","Otto Addo",43983,"Education City Stadium, Doha","Group stage","2022-11-28","2–3","Anthony Taylor"
"M",2022,"Brazil","Switzerland",1,1,NA,0,0.3,NA,"Tite","Murat Yakin",43649,"Stadium 974, Doha","Group stage","2022-11-28","1–0","Iván Barton"
"M",2022,"Portugal","Uruguay",2,1.3,NA,0,1.3,NA,"Fernando Santos","Diego Alonso",88668,"Lusail Iconic Stadium, Lusail","Group stage","2022-11-28","2–0","Alireza Faghani"
"M",2022,"Japan","Costa Rica",0,0.9,NA,1,0.1,NA,"Hajime Moriyasu","Luis Fernando Suárez",41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-27","0–1","Michael Oliver"
"M",2022,"Belgium","Morocco",0,1,NA,2,1.5,NA,"Roberto Martínez","Hoalid Regragui",43738,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-27","0–2","César Arturo Ramos"
"M",2022,"Croatia","Canada",4,2.6,NA,1,0.4,NA,"Zlatko Dalić","John Herdman",44374,"Khalifa International Stadium, Doha","Group stage","2022-11-27","4–1","Andrés Matonte"
"M",2022,"Spain","Germany",1,0.6,NA,1,1.3,NA,"Luis Enrique","Hansi Flick",68895,"Al Bayt Stadium, Al Khor","Group stage","2022-11-27","1–1","Danny Makkelie"
"M",2022,"Tunisia","Australia",0,0.9,NA,1,0.6,NA,"Jalel Kadri","Graham Arnold",41823,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-26","0–1","Daniel Siebert"
